0.0000,2555.556,updateCounterTextView
0.0002,2623.876,updateCounterTextView
0.0004,2578.513,updateCounterTextView
0.0006,2531.552,updateCounterTextView
0.0008,2553.709,updateCounterTextView
0.0010,2561.095,updateCounterTextView
0.0012,2612.444,updateCounterTextView
0.0014,2680.029,updateCounterTextView
0.0016,2668.554,updateCounterTextView
0.0018,2697.371,updateCounterTextView
0.0020,2709.549,updateCounterTextView
0.0022,2659.680,updateCounterTextView
0.0024,2681.844,updateCounterTextView
0.0026,2712.518,updateCounterTextView
0.0028,2794.133,updateCounterTextView
0.0030,2711.396,updateCounterTextView
0.0032,2718.784,updateCounterTextView
0.0034,2639.363,updateCounterTextView
0.0036,2664.139,updateCounterTextView
0.0038,2729.127,updateCounterTextView
0.0040,2700.314,updateCounterTextView
0.0042,2681.118,updateCounterTextView
0.0044,2747.220,updateCounterTextView
0.0046,2710.295,updateCounterTextView
0.0048,2738.360,updateCounterTextView
0.0050,2696.255,updateCounterTextView
0.0052,2675.216,updateCounterTextView
0.0054,2723.588,updateCounterTextView
0.0056,2711.029,updateCounterTextView
0.0058,2705.489,updateCounterTextView
0.0060,2444.435,updateCounterTextView
0.0062,2627.925,updateCounterTextView
0.0064,2552.208,updateCounterTextView
0.0066,2609.811,updateCounterTextView
0.0068,2655.626,updateCounterTextView
0.0070,2718.790,updateCounterTextView
0.0072,2709.561,updateCounterTextView
0.0074,2697.371,updateCounterTextView
0.0076,2713.988,updateCounterTextView
0.0078,2734.667,updateCounterTextView
0.0080,2758.671,updateCounterTextView
0.0082,2709.561,updateCounterTextView
0.0084,2662.653,updateCounterTextView
0.0086,2715.834,updateCounterTextView
0.0088,2754.978,updateCounterTextView
0.0090,2719.895,updateCounterTextView
0.0092,2797.069,updateCounterTextView
0.0094,2812.981,updateCounterTextView
0.0096,2826.991,updateCounterTextView
0.0098,2797.448,updateCounterTextView
0.0100,2754.978,updateCounterTextView
0.0102,2726.173,updateCounterTextView
0.0104,2800.003,updateCounterTextView
0.0106,2812.219,updateCounterTextView
0.0108,2799.294,updateCounterTextView
0.0110,2814.066,updateCounterTextView
0.0112,2735.037,updateCounterTextView
0.0114,2557.056,updateCounterTextView
0.0116,2540.440,updateCounterTextView
0.0118,2641.210,updateCounterTextView
0.0120,2640.495,updateCounterTextView
0.0122,2647.881,updateCounterTextView
0.0124,2665.221,updateCounterTextView
0.0126,2706.587,updateCounterTextView
0.0128,2523.824,updateCounterTextView
0.0130,2699.967,updateCounterTextView
0.0132,2522.319,updateCounterTextView
0.0134,2565.136,updateCounterTextView
0.0136,2525.670,updateCounterTextView
0.0138,2684.811,updateCounterTextView
0.0140,2644.546,updateCounterTextView
0.0142,2600.576,updateCounterTextView
0.0144,2695.890,updateCounterTextView
0.0146,2734.296,updateCounterTextView
0.0148,2705.869,updateCounterTextView
0.0150,2630.128,updateCounterTextView
0.0152,2667.109,updateCounterTextView
0.0154,2640.853,updateCounterTextView
0.0156,2615.428,updateCounterTextView
0.0158,2537.091,updateCounterTextView
0.0160,2498.469,updateCounterTextView
0.0162,2623.876,updateCounterTextView
0.0164,2619.755,updateCounterTextView
0.0166,2526.490,updateCounterTextView
0.0168,2651.624,updateCounterTextView
0.0170,2609.811,updateCounterTextView
0.0172,2595.828,updateCounterTextView
0.0174,2617.553,updateCounterTextView
0.0176,2608.045,updateCounterTextView
0.0178,2634.178,updateCounterTextView
0.0180,2656.034,updateCounterTextView
0.0182,2710.662,updateCounterTextView
0.0184,2640.495,updateCounterTextView
0.0186,2587.297,updateCounterTextView
0.0188,2753.877,updateCounterTextView
0.0190,2590.289,updateCounterTextView
0.0192,2647.522,updateCounterTextView
0.0194,2557.517,updateCounterTextView
0.0196,2694.795,updateCounterTextView
0.0198,2578.513,updateCounterTextView
0.0200,2656.705,updateCounterTextView
0.0202,2465.411,updateCounterTextView
0.0204,2463.231,updateCounterTextView
0.0206,2614.644,updateCounterTextView
